SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,DSR,27
1,0,0,10,DSR,27
2,1152,144,10,DSR,27
3,1088,136,10,DSR,27
4,1168,146,10,DSR,27
5,1248,156,10,DSR,27
6,1192,149,10,DSR,27
7,1656,207,10,DSR,27
8,2328,291,10,DSR,27
9,2704,338,10,DSR,27
10,2584,323,10,DSR,27
11,2216,277,10,DSR,27
12,2296,287,10,DSR,27
13,1264,158,10,DSR,27
14,1416,177,10,DSR,27
15,1064,133,10,DSR,27
16,888,111,10,DSR,27
17,1456,182,10,DSR,27
18,1336,167,10,DSR,27
19,1184,148,10,DSR,27
20,1392,174,10,DSR,27
21,1408,176,10,DSR,27
22,1688,211,10,DSR,27
23,1232,154,10,DSR,27
24,1296,162,10,DSR,27
25,616,77,10,DSR,27
26,760,95,10,DSR,27
27,792,99,10,DSR,27
28,1256,157,10,DSR,27
29,824,103,10,DSR,27
30,592,74,10,DSR,27
31,1160,145,10,DSR,27
32,1288,161,10,DSR,27
33,904,113,10,DSR,27
34,696,87,10,DSR,27
35,936,117,10,DSR,27
36,1112,139,10,DSR,27
37,832,104,10,DSR,27
38,712,89,10,DSR,27
39,864,108,10,DSR,27
40,640,80,10,DSR,27
41,1376,172,10,DSR,27
42,1336,167,10,DSR,27
43,1272,159,10,DSR,27
44,1392,174,10,DSR,27
45,1360,170,10,DSR,27
46,752,94,10,DSR,27
47,880,110,10,DSR,27
48,1344,168,10,DSR,27
49,1536,192,10,DSR,27
50,984,123,10,DSR,27
51,1408,176,10,DSR,27
52,1432,179,10,DSR,27
53,928,116,10,DSR,27
54,1456,182,10,DSR,27
55,1040,130,10,DSR,27
56,920,115,10,DSR,27
57,1288,161,10,DSR,27
58,1288,161,10,DSR,27
59,1504,188,10,DSR,27
